Job Title,Company Name,Job Description,Location,Job Board,skills
Machine Learning Engineer / Data Scientist,TerraSense Analytics Ltd,CATCHY INTRO Honestly  we’ve been brainstorming this “catchy intro” for about 20 minutes and everything that we throw at the wall is either too serious  or just downright lame  with no authenticity behind it. Which is absolutely hilarious  considering everyday TerraSense strives for authenticity. So that’s it. That’s what you get. Our not-so-super-catchy  not-super-lame  but not-super-corporate intro. Authentic. Hey  come work here and help us on this journey. * WHY WORK WITH US?* Our two main products target the Utilities and Defense sectors. Besides understanding how to use machine learning to predict maintenance for transmission lines  or how to take the metadata from two sensors and fuse them together  we actually do appreciate the soft skills too. We strive to foster a culture of success  innovation  respect  and did we mention authenticity? That’s right  if you hate what the CTO is saying  we fully expect you to step up and tell him he’s wrong (or that you disagree). The Product Manager does all the time and she still hasn’t been fired. * WHAT YOU WOULD BE DOING...* ... on the development team for our MIST product  working to create and deploy aerial surveillance with artificial intelligence. The product will utilize edge computing  computer vision and deep learning algorithms. Okay so we hope that you got this far and are slightly intrigued by our culture and what you would be doing. Here comes the hard part. This role requires you to be a Canadian Citizen or Permanent Resident having resided in Canada for at least 10 years as well as a criminal record and credit check. You will be required to work locally with flexibility on work hours. These are hard requirements with no negotiation  so please do not apply to this particular role if you don’t meet these requirements. We will have other roles that come up without such stringent requirements  but there is no wiggle room on this one. * QUALIFICATIONS* Excellent knowledge of Python 2 years of experience in building and shipping great software Experience with deploying ML on the edge or in the cloud Strong knowledge of ML frameworks (eg. TensorFlow  PyTorch  CUDA) Knowledge of computer vision models  frameworks  and tools Eligible for security clearance and to work in Canada Bonus: Experience with Docker  video analytics  and/or GUI development a plus Bonus: Networking and cybersecurity experience COMPENSATION Competitive salary and stock options based on experience  competency and length of service 5 weeks paid vacation Training and professional development allowance  and extended medical and dental Beer Tuesdays at our neighbourhood microbrewery (post Covid ) * NON - COMPENSATION CONSIDERATIONS* Accountability: We truly do work hard  play hard and expect everyone to self manage...meaning we don’t track hours. Flexibility: If your best time to work is from 10pm to 2am then we want to support that so we try to enable team communication by committing to M-Th 10am-2pm “office hours.” The rest is up to you. Job Type: Full-time,None,Indeed,"['building', 'shipping', 'Docker', 'service']"
Développeur de données / Data Developer,ZeniMax Media Inc.,Your Privacy: ZeniMax understands the importance of privacy. Please review the “Applicant Privacy Notice” section below  which explains how we process the personal information we collect about you when you apply for a job or submit information to us through this job portal. BY APPLYING FOR THIS JOB  SHARING THIS JOB OR OTHERWISE PROVIDING US WITH YOUR PERSONAL INFORMATION THROUGH THIS JOB PORTAL  YOU ACKNOWLEDGE THAT YOU HAVE READ AND UNDERSTOOD THE APPLICANT PRIVACY NOTICE   WHICH IS SET FORTH IN THE “APPLICANT PRIVACY NOTICE” SECTION BELOW. Overview: Bethesda Game Studios est à la recherche d'un développeur de données talentueux et autonome avec de solides compétences techniques pour rejoindre l'équipe qui dépasse les standards et repousse les limites du développement de jeux AAA sur les plateformes mobiles. Le développeur de données travaillera avec notre spécialiste des données et nos programmeurs pour mettre en place et maintenir des solutions de données afin de soutenir les initiatives analytiques visant à améliorer l'expérience et la performance des joueurs ainsi qu'à augmenter la rétention et la monétisation des joueurs.  Bethesda Game Studios is looking for talented and self-driven Data Developer with strong technical skills to join the team that is pushing the bleeding-edge AAA game development for mobile platforms. The Data Developer will work with our Data Scientist and programmers in building and maintaining data solutions to support analytics initiatives to improve player experience and game performance as well as increase player retention and monetization. Responsibilities: Construire de nouvelles structures de données et étendre les structures existantes pour prendre en charge l'analyse des jeux  Maintenir de grandes bases de données Apache Spark de plusieurs téraoctets qui incluent l'optimisation des performances et les processus de rétention et de purge des données  Rechercher et régler les problèmes de qualité des données  fournir des corrections et proposer des solutions à court et à long terme  Préparer la conception des systèmes de base de données et recommander des améliorations en matière de performance  Maintenir et développer divers scripts et outils de base de données Python / Scala pour faciliter les processus d'automatisation  Fournir un soutien lié à toutes les initiatives de suivi des données  Évaluer la mise en place du suivi des données dans le jeu pour toutes les demandes de propositions et aider à améliorer la structure et le schéma des rapports pour optimiser la vitesse des requêtes  Aider les spécialistes de la science des données à rassembler les données et à construire des tables de travail pour accélérer l'analyse  Optimiser les requêtes SQL pour améliorer la vitesse de traitement des clusters Spark.  Build new and extend existing data structures to support game analytics  Maintain large  multi-terabyte Apache Spark databases which includes performance tuning and data retention/purge processes  Research and troubleshoot data quality issues  providing fixes and proposing both short- and long-term solutions  Prepare designs for database systems and recommend improvements for performance  Maintain and develop various Python / Scala database scripts and tools to facilitate automation processes  Provide support related to all data tracking initiatives  Evaluate the implementation of data tracking in the game all proposals requests and assist to improve the logs structure and schema to optimize for querying speed  Assist data scientists to wrangle data and build working tables to speed analysis  Optimize SQL queries to improve processing speeds on Spark clusters. Qualifications: Passion pour les jeux vidéo  Minimum 3 ans d'expérience dans un rôle similaire dans le développement  la gestion  la maintenance et l'optimisation d'environnements de données de plusieurs téraoctets  y compris les pipelines de données et les processus ETL qui leur sont associés  Très forte expérience avec Apache Spark ou une technologie similaire  Excellentes compétences en SQL  Solide expérience dans les langages de script et de programmation tels que Python  Scala  Linux Shell  C# scripting  Expérience en modélisation de données pour les environnements transactionnels et d'entreposage de données  y compris la familiarité avec les normes de modélisation dimensionnelle de Kimball et 3NF  Expérience de travail avec une variété de sources de données telles que MySQL  Oracle  SQL Server  PostgreSQL  S3  HDFS  et Dynamo DB  Expérience avec les systèmes de contrôle des sources (Git  Perforce  SVN  etc.)  Solides compétences interpersonnelles et capacité de résolution de problèmes.  Passion for video games  Minimum 3 years of experience in a similar role in developing  managing  maintaining and optimizing large  multi-terabyte data environments including the pipelines of data and ETL processes feeding into it  Very strong experience with Apache Spark or a similar technology  Expert level SQL skills  Solid experience in scripting and programming languages such as Python  Scala  Linux Shell  C# scripting  Data modeling experience for both transactional and data warehousing environments including familiarity with Kimball dimensional and 3NF modeling standards  Experience working with a variety of data sources such as MySQL  Oracle  SQL Server  PostgreSQL  S3  HDFS  and Dynamo DB  Experience using source control systems (Git  Perforce  SVN  etc.)  Strong interpersonal skills and problem-solving ability. Preferred Skills: Baccalauréat en informatique  en génie  ou en intelligence d'affaires avec une expérience supplémentaire appropriée  Expérience dans l'industrie du jeu vidéo serait un grand plus  Expérience de travail avec d'autres technologies de données AWS comme S3  Redshift Spectrum  Athena  Data Pipeline  Glue  EMR  RDS  et Kinesis   BS degree in Computer Science  Engineering  or BI with appropriate additional experience  Experience in the video game industry would be a big plus  Experience working with other AWS data technologies such as S3  Redshift Spectrum  Athena  Data Pipeline  Glue  EMR  RDS  and Kinesis  Experience working with big data solutions such as Apache Spark  PrestoDB  Impala or similar. Applicant Privacy Notice: Applicant Privacy Notice,Montreal,Glassdoor,"['Apache Spark', 'similar technology', 'programming languages', 'environments', 'video game industry']"
Junior Data Scientist/Analyst,"IBI Group
",Company Description   We are a global architecture  engineering  planning  and technology firm defining the cities of tomorrow.  By connecting design and technology  we change how people experience their built environment. We work across disciplines to create the intelligent systems  sustainable buildings  and efficient infrastructure that shapes the way people live  move  learn  and heal.  With over 3 000 employees and 60+ offices around the world  we understand what it takes to work locally and scale globally.  At IBI  we’re defining the cities of tomorrow.    Job Description   The Data Scientist is responsible for modeling complex enterprise scenarios  discovering enterprise insights and identifying opportunities in the use of statistical  algorithmic  mining and visualization techniques. In addition to advanced analytic skills  this role is also proficient at integrating and preparing large  varied datasets  architecting specialized database and computing environments  and communicating results in a way that is customized to the target audience.  This is an exciting role for someone seeking a challenging and dynamic role in enterprise analytics and an amazing opportunity to collaborate within IBI Group globally towards Connected and Smarter environment and operations. Working in close collaboration with buildings  land planning  infrastructure design and planning  transportation  and geomatics departments across IBI Group  the Data Scientist demonstrates the capability to turn data into critical information and knowledge that can be used to make sound decisions. The successful candidate possesses a combination of keen business focused  advanced analytical  problem solving and programming capabilities to quickly develop and validate through models.   Most Of The Things You'll Work On:  Works in collaboration with all IBI Group departments and external clients to discern and identify sources  develop data roadmap strategies and requirements  conduct analytical processes  and validates findings. Understands the broader objectives  while leading the smaller initiatives to drive the work and outcomes. Develops innovative and effective approaches to solve analytical problems and communicates results and methodologies. Develops experimental design approaches and models to validate findings or test hypotheses. Monitors and tracks performance decision systems and models (e.g. AI and statistical models). Curates and establishes business objectives through technical writing and presentations with colleagues and external clients for the purposes of business development and strategic interests. Supports team members in data analytics methodology and coding best practices.   Qualifications   You'll Need To Have:  Minimum Bachelor’s Degree in Mathematics  Statistics  Computer Science  Engineering  or related field  Master’s Degree preferred. Completion of a Data Science or Data Analytics program in addition to the above Bachelor’s Degree. Minimum of 1 to 2 years of experience solving analytical problems using relevant quantitative and qualitative research and analytics experience  in related business areas. Comfort manipulating and analyzing complex  high-volume  high-dimensionality data from varying sources (in-house and external open sources) is required. Proficiency in statistical analysis  quantitative analytics  forecasting/predictive analytics  multivariate testing  and optimization algorithms and developing operational models. Demonstrated ability in predictive analysis and deriving conclusions. Demonstrated ability to propose solutions to business problems by leveraging pattern detection over potentially large datasets. Experience with data visualization and Business Intelligence tools such as PowerBI and Tableau. Strong analytical programming skills in Python (Keras  PyTorch  Scikit-learn  Tensorflow  Weka  Spacy  Numpy  etc)  data management (MS SQL  Oracle). Experience with any statistical modeling (SAS  SPSS  R) will be an asset. Experience with mapping tools such as QGIS and Carto will be an asset. Experience with UX/UI will be an asset. Experience with web development (Django  Python  Java) will be an asset. A strong passion for empirical research and for answering hard questions with data is required. Ability to communicate complex quantitative analysis in a clear  precise  and actionable manner through technical writing and presentations.  Additional Information   We are currently in a work from home model during COVID-19  but when we do return to the office we're located at 55 St. Clair Ave West  this office is steps away from St. Clair station and is easily accessible by bike  TTC and car. Occupying 7 floors  with over 700 employees  it is the largest office at IBI Group. The floors are open concept and represent our collaborative approach to projects.  BI Group provides a competitive benefit package and pays association dues and licensing fees.  As an Equal Opportunity Employer  we are proud to support the growth and equality of our people through initiatives like our Mentorship Program  Global Women’s Network  and Diversity & Inclusion Council. We welcome applications from all suitably qualified candidates regardless of age  race  disability  gender reassignment  marriage and civil partnership  pregnancy and maternity  religion or belief  sex and sexual orientation. We thank all applicants for their interest. However  only those selected for an interview will be contacted.  As part of IBI Group's selection process  candidates may be requested to consent to background checks relevant to the role under consideration for  prior to receiving a job offer. These could include: work references  education and credential confirmation  employment verification  identity check  credit report  criminal offence and driver’s license record. #ibi  We request applicants submit RESUME AND PORTFOLIO highlighting relevant work experience. Please limit PDF files to 10MB,Midtown Toronto,Glassdoor,"['related business areas', 'data visualization', 'Business Intelligence tools', 'statistical modeling', 'mapping tools', 'UI', 'web development']"
Data Scientist,"Stradigi AI
",Stradigi AI  a leading artificial intelligence solutions provider  is looking for a Data Scientist who will support our pre- sales and marketing teams with insights gained from analyzing company data. The ideal candidate must have strong experience using a variety of data mining/data analysis methods using a variety of data tools  building  and implementing models  using/creating algorithms  and creating/running simulations.  What You'll Do  Participate and drive client workshops to capture business objectives and translate them into data requirements for ML purposes.  Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.  Mine and analyze data from company databases to drive optimization and improvement of product development  marketing techniques and business strategies.  Assess the effectiveness and accuracy of new data sources and data gathering techniques.  Develop custom data models and algorithms to apply to data sets.  Use predictive modeling to increase and optimize customer experiences  revenue generation  ad targeting and other business outcomes.  Coordinate with different functional teams to implement models and monitor outcomes.  Develop processes and tools to monitor and analyze model performance and data accuracy.  Required Qualifications  Experience using statistical computer languages (R  Python  SLQ  etc.) to manipulate data and draw insights from large data sets.  Experience working with and creating data architectures.  Financial knowledge or experience from capital markets is a definite asset.  Knowledge of a variety of machine learning techniques (clustering  decision tree learning  artificial neural networks  etc.) and their real-world advantages/drawbacks.  Knowledge of advanced statistical techniques and concepts (regression  properties of distributions  statistical tests and proper usage  etc.) and experience with applications.  Excellent written and verbal communication skills for coordinating across teams.  Strong presentation skills for both internal stakeholders and client workshops.  A drive to learn and master new technologies and techniques.  We are looking for someone with 4-7 years of experience manipulating data sets and building statistical models  has a Master's or PHD in Statistics  Mathematics  Computer Science or another quantitative field  and is familiar with the following software/tools:  Knowledge and experience in statistical and data mining techniques: GLM/Regression  Random Forest  Boosting  Trees  text mining  social network analysis  etc.  Experience querying databases and using statistical computer languages: R  Python  SLQ  etc.  Experience using web services.  Experience creating and using advanced machine learning algorithms and statistics: regression  simulation  scenario analysis  modeling  clustering  decision trees  neural networks  etc.  Experience analyzing data from 3rd party providers: Google Analytics  Facebook Insights  etc.  Experience with distributed data/computing tools: Map/Reduce  Hadoop  Hive  Spark  MySQL  etc.  Experience visualizing/presenting data for stakeholders using: Tableau  Periscope  Business Objects.  Why consider Stradigi AI?  We offer very attractive salaries.  The opportunity to own shares in our company through our ESOP program.  RRSP matching up to 3%  A generous vacation program & additional paid time off during the holidays  Health  Dental and many additional wellness benefits  Flexible work arrangements  allowing you to work from home or the office,Montreal,Glassdoor,"['capital markets', 'applications', 'computing tools']"
Intermediate Scientist/CAPA Specialist,"Adecco
","Our client in Ottawa West is currently looking for a CAPA Specialist  R&D to join their team. As a member of Research and Development team  the candidate will contribute to the team’s success by supporting key product development programs while gaining an understanding of the business. Main tasks will include  but are not limited to  data analysis  CAPA documentation  performing CAPA investigations  and root cause analysis/failure mode effects analysis of chemical/biochemical systems and mechanical/microfluidic systems. The ideal candidate for our team will bring the following education  experiences  knowledge  and skills to the position.  Required Education and Experience:  Bachelor’s Degree in Science  Engineering or related discipline preferred.  Proven technical  creative  teamwork and implementation skills to contribute to active investigations for product development. Demonstrated problem-solving and analytical skills. Experienced using statistical tools  root cause analysis and knowledge of Failure Mode Effects Analysis. Strong written and oral skills are required. Comprehends and conveys information accurately and concisely  excellent technical documentation skills. Ensures documentation and resulting actions comply with all corporate and regulatory requirements. Understands key technical issues and provides creative solutions while balancing relative risks and gains. Excellent attention to detail  organization skills and proven ability to multitask. Demonstrated initiative and ability to work with tight deadlines. Demonstrated judgment and decision-making skills  organization  coordinating and planning skills  ability to work in a multi-task environment  ability to work under pressure and propensity to continuous learning. Ability to work both independently and within small and large teams  strong interpersonal skills and ability to work cross-functionally. Ability or aptitude to work on complex problems/issues. Ability or aptitude to use various types of databases and other computer software.  Familiarity with any of the following areas would be an asset:  GMP  ISO 13485 standard  FDA Quality System Requirements and other applicable US Code of Federal Regulations for Devices. Working knowledge of Quality Management Systems. Risk management methods. Working knowledge of CAPA procedures.  This position requires a solid knowledge of scientific principals and theories and the ability to implement these in a creative and effective manner. The individual must be flexible and be able to work in a fast paced environment with changing priorities. This position requires someone who can work Monday through Friday from 8:00 a.m. to 5:00 p.m. Compensation to be determined based on level of experience.  If you would like to be considered for this position  please click on ""Apply Now ""  AP1956",Ottawa,Glassdoor,[]
Data Scientist II,"AMZN CAN Fulfillment Svcs, ULC
",Bachelor’s Degree in any quantitative discipline such as Statistics  Mathematics  Quantitative Finance or Operational Research At least 5 years of experience working in Analytics / Data Science / Forecasting environment Experience in working with databases and SQL in a business environment Demonstrated use of analytical packages and scripting languages such as R  Python  SAS and SPSS. Prior experience in design and execution of science/analytical projects. Worked extensively in large scale databases and data warehouse. Amazon.com’s Customer Trust and Partner Support (CTPS) mission is to make Amazon the safest and most trusted place worldwide to transact online. Amazon runs one of the most dynamic e-commerce marketplaces in the world  with nearly 2 million sellers worldwide selling hundreds of millions of items in ten countries. CTPS safeguards every financial transaction across all Amazon sites. As such  CTPS designs and builds the software systems  risk models and operational processes that minimize risk and maximize trust in Amazon.com. CTPS organization is looking for a Data Scientist for its Forecasting and Planning Research team. The team is being grown to provide insights about its CTPS planning and provide analytical solutions to help drive operational efficiencies  uncover the hidden risks and trends  reduce investigation errors and bad debt  improve customer experience and predict & recommend the optimizations for future state of CTPS operations.  As a DS-II  you will be responsible for modeling complex problems  discovering insights and identifying opportunities through the use of statistical  machine learning  algorithmic  data mining and visualization techniques. You will collaborate effectively with internal stakeholders and cross-functional teams to solve problems  create operational efficiencies  and deliver successfully against high organizational standards. The candidate should be able to apply a breadth of tools  data sources and analytical techniques to answer a wide range of high-impact business questions and present the insights in concise and effective manner. Additionally  you are an effective communicator capable of influencing and driving major decisions through data-driven insights. This is a high impact role with goals that directly impacts the bottom line of the business.  Responsibilities:  Use time series/ML forecasting techniques to forecast CTPS investigations for improved long term and short term capacity planning. Employ the appropriate algorithms to discover patterns of risks  abuse and help reduce bad debt Design experiments  test hypotheses  and build actionable models to optimize CTPS operations Solve analytical problems  and effectively communicate methodologies and results Build predict models to forecast risks for product launches and operations and help predict workflow and capacity requirements for CTPS operations Draw inferences and conclusions  and create dashboards and visualizations of processed data  identify trends  anomalies Work closely with internal stakeholders such as business teams  engineering teams  and partner teams and align them with respect to your focus area Experience in statistical techniques such as classification  clustering  regression  statistical inference  collaborative filtering  and natural language processing  experimental design  social networking analysis  feature engineering  etc. Experience in creating forecasting using time-series and causal models. Experience/knowledge of advanced machine learning techniques such as GBM  random forest  etc. Experience in e-commerce / on-line companies in fraud / risk control functions Coding skills in one of the modern languages Java  Python  R Experience with visualization technologies such as Tableau Compelling communication and influencing skills and participation in winning the support of management and influence the course of major strategic decisions,Vancouver,Glassdoor,"['design', 'execution', 'statistical techniques', 'line companies', 'visualization technologies']"
Data Scientist / Machine Learning Expert,Toronto Explore & Learn,THIS IS AN IMMEDIATE VACANCY. WE ARE LOOKING FOR TEAM MEMBERS WHO CAN JOIN US IMMEDIATELY AND WORK 35 HOURS A WEEK. FLEXIBLE SCHEDULE POSSIBLE. ALL WORK IS REMOTE.  We are looking for an enthusiastic and self-motivated addition to our growing Engineering team. The position offers a unique opportunity to be part of a small  fast-growing  challenging environment  that takes on Financial Literacy and Entrepreneurship education around the world.  Responsibilities:  You’ll be working with frontend and backend engineers building company projects Build end-to-end machine learning solutions to solve complex customer problems Working closely with Infrastructure architects to design scalable and cost-effective solutions Develop measurements and feedback systems  Requirements:  A degree in computer science  statistics  or related fields School transcript required Strong math and statistics background High proficiency in Python Familiarity with Django  Algorithmic trading  or JavaScript Mandated by the Government to hire only Canadian Citizens or PR Card Holders under the age of 30.  If you're passionate about data science  and are eager to learn and grow  please apply   Contract length: 10 months  Part-time hours: 35 per week  Job Types: Part-time  Contract  Salary: $18.00 per hour  Benefits:  Work from home  Schedule:  Day shift  Education:  Bachelor's Degree (preferred)  Experience:  Data Mining: 1 year (required) Statistics: 1 year (required) Machine Learning: 1 year (required)  Language:  English (required)  Licence/Certification:  Canadian Citizenship or PR Card and you are under 30 (required)  Work remotely:  Yes,Midtown Toronto,Glassdoor,[]
Data Engineer,"ScanSource Canada Inc.
",Summary:  The Data Engineer will be responsible for supporting  defining  and executing plans to create reporting solutions for our business and support teams. Primarily  the Data Engineer will be accountable for the movement of data from our enterprise systems (SAP BW  SQL) and landing it into a structured dataset for reporting solutions to utilize. These solutions include  but are not limited to  Business Intelligence and Data Visualization tools (SQL Server Analysis Service / Azure Analysis Services  Power BI Desktop). This position will work with business leads and IT to gather the reporting requirements and will help develop the solution. SAP BW  SAP Business Object  Power BI  Excel  SQL  SSIS  Azure Data Factory  and other tools will be used as necessary to provide the best solution possible. This position will create and/or support data models of varying complexity from concept to completion including documenting the solution. This position will be a part of the global business intelligence team and must be able to work in a team environment and share knowledge.  Essential Job Duties:  Data Engineering responsibilities include  but are not limited to (90%):  Create and build robust data structures to support end user's analysis and decision making across multiple business verticals. This includes both end-to-end architecting and business solutioning. Collaborate with end users and peers to understand requirements  formulate use cases  and then translate into an effective technical solution. Participate in brainstorming sessions and contribute ideas to our technology  algorithms and products. Effectively communicate and interact with business and technical personnel in solving complex data related business and technical problems. Monitor data warehouse eco-system and identify opportunities to make enhancements. Ensure data processes run and complete on a timely basis to ensure business continuity. Adhere to timelines and excel in a fast-paced  high-energy environment. Coach and develop other data professionals. Drive data best practices and contribute to development of overall data strategy and roadmap.  Stay informed of latest engineering methodologies and industry direction (10%):  Stay informed of the latest Data Engineering industry news and direction. Other duties as assigned   Reporting Relationships:  Data Engineering works under general supervision and may take direction from BI Engineering and the Data & Analytics Management Reports to Data & Analytics Manager   Credentials:  Required:  Associate’s Degree or two years relevant experience Strong understanding of relational and dimensional data modeling (Kimball Dimensional Modeling Methodology). Advanced experience working with data warehouses and ETL applications with expert-level knowledge of relational data. Clear communication skills  the ability to explain complex technical concepts to non- technical internal clients. Expertise in SQL (e.g. MS SQL  T-SQL  PostgreSQL  SPARQL) Advanced experience leveraging various strategies for ingesting  modelling  processing  and persisting data as well as excellent analytical and problem-solving skills. Experience with cloud data warehousing and management solutions. Familiarity with Power BI and other visualization solutions (e.g. Tableau  Looker  Qlik  etc.). Be a self-starter  with the ability to learn new technologies and work independently - an ideal candidate is curious and always willing to implement the latest and greatest technologies. Demonstrated experience with Azure Data Factory  Azure SQL Managed Instance  and Azure DevOps  SQL Server Integration Services and other industry grade ETL tools.  Preferred:  Bachelor’s Degree or four years relevant experience as a Data Engineer or related specialty with demonstrable track record in developing data solutions that are correct  stable  and high performing  provide business value  and use resources efficiently (e.g. system hardware  data storage  query optimization  cloud infrastructure  etc.). Coding proficiency in one or more languages (e.g. Python  Scala  Ruby  Java)  expertise SAP Experience Expertise with Power BI  SSAS/AAS  and SSIS/Azure Data Factory Cloud Experience preferred (e.g. AWS  Azure  Google Cloud Platform  etc.). Proficiency in foreign language (Spanish  Portuguese  French  German)  Physical Requirements:  Ability to sit at a computer terminal for long periods of time. Ability to be physically in attendance at workstation at designated company office location during normal business hours designated for the position. Ability to handle considerable stress at times.   ScanSource  Inc. is an Equal Opportunity Employer  EOE/M/F,Mississauga,Glassdoor,"['management solutions', 'Azure Data Factory', 'Data Engineer', 'specialty']"
Senior Data Analyst,National Bank of Canada,Primary Locations: Montreal  Quebec Employee Status: Regular Schedule: Full-time  We are looking for a Senior Data Analyst to transform our performance metrics dashboards for Collection. The sector is responsible for managing and optimizing the Generator of Calls to Collection and monitoring the performance of all risk strategies covering the consumer credit  credit cards  SME and collection portfolios. The candidate's primary mandate will be to create an executive overview of Collection containing *key* performance indicators and their targets  and to communicate this overview to executives  they will also continue migrating our dashboards to Power BI and propose new visualizations. The role therefore requires analytical and business intelligence skills as well as strong communication and presentation skills. Although the candidate's primary mandate will be related to measuring the performance of Collection  they may be called upon to use their analytical skills in the team's other areas of activities  including monitoring strategies for the 3 business lines covered by the team. The Modelling and Risk Strategies team thereby offers many development opportunities for selected candidates. This position reports to the Manager – Analytics and Performance  Modelling and Risk Strategies for Cards  Retail & SME. Your main challenges Create a monthly executive overview of the performance of Collection  which involves identifying relevant KPIs  extracting them from SAS databases  and creating the relevant visualizations in Power BI With our partners  determine targets for the key performance indicators in your executive overview Communicate and explain the trends you observe in the executive overview in different forums  including for the sector's Vice-President Complete our performance metrics Power BI ecosystem by adding new visualizations to help us assess the impact of our actions Understand the operational environment of Collection and the different levers that can affect its performance to have all the components required for effective storytelling  Bachelor’s degree in a related field and 5 years of experience in credit risk  OR master’s degree in a related field and 3 years of experience in credit risk  OR university certificate/undergraduate diploma from the National Bank University Program and 7 years of experience in credit risk Proficient in SAS/SQL (R or Python  an asset) Proficient in Power BI Excellent communicator  spoken and written  skilled in storytelling for the presentation of results Ability to present and adapt their level of speech to different audiences Independence and proactivity Experience in collection  an asset Excellent ability to analyze and summarize  and intellectual curiosity Comfortable applying expertise in an ever-changing multidisciplinary environment Bilingualism  spoken and written (English and French) The Bank has innovated by modernizing its performance evaluation system to better meet our clients’ evolving needs. From now on  the corporate values (expected behaviours) of partnership  agility and empowerment count as much as the business objectives. Working at National Bank means having access to competitive working conditions  a wide range of employee benefits  a dynamic work environment and telemedicine services. National Bank values all aspects of diversity and sees it as a tremendous source of wealth. We want to offer an open  respectful work environment where all employees can achieve their full potential. Senior management has made a concrete commitment to promote this value across all sectors of the organization. We're committed to providing accommodations as needed and ensuring accessibility during the recruitment process and after hiring. If you have any specific needs  please let us know during our initial conversation and we'll be happy to accommodate you.,Montréal,Indeed,"['credit risk', 'credit risk', 'credit risk Proficient', 'Power BI Excellent communicator']"
Software Development/Engineering Manager - Data Science,"UKG (Ultimate Kronos Group)
",Description & Requirements  Description  Data science is a crucial part of UKG. Our team builds statistical and machine learning models that support product features across the company  with the goal of empowering thousands of organizations and millions of employees to thrive. We tackle problems in the fields of machine learning  natural language processing  document processing  sociology  and statistics... and we're just getting started. We’re looking for a software engineering manager to join the team and help it grow. You will lead a team of data scientists and software engineers. The team is distributed  working across multiple time zones  in an agile environment with daily stand-ups and regular releases. This position requires excellent technical  tactical  and strategic leadership  along with a strong ability to communicate both within the team  and across the organization.  As part of the team  you will:  Support and grow a team of highly motivated people. Focus on data-driven processes that lead to continuous improvement for the team. Support the professional  technical  and personal growth of a diverse group of people  with a wide range of experiences. Collaborate with the team to set the product and technical roadmaps  along with the plans for achieving them. Work with your peers to help support and drive cultural changes across the organization.  Qualifications  Previous engineering leadership experience  preferably with a data science team University degree in Computer Science  Statistics  Mathematics  preferably at the graduate level  or equivalent experience. Passionate about people  processes  and technologies and with the ability to use that passion to inspire and motivate others. Strong outcome-based work ethic with a sense of ownership  urgency  and drive and an unwavering commitment to do the right thing. Proven leadership in facilitating complex discussions to achieve goals and solve problems. An understanding of the importance of being data driven  and the value that KPIs can bring to continuous improvement and innovation. A technical background in software engineering  data engineering  or data science. Ability to build and maintain productive relationships with a diverse array of stakeholders and groups throughout the organization. Experience in Lean-Agile development processes such as Kanban or Scrum. Experience working in an enterprise-scale SaaS production environment.  Corporate overview  Here at UKG  Our Purpose Is People. UKG combines the strength and innovation of Ultimate Software and Kronos  uniting two award-winning  employee-centered cultures. Our employees are an extraordinary group of talented  energetic  and innovative people who care about more than just work. We strive to create a culture of belonging and an employee experience that empowers our people. UKG has more than 13 000 employees around the globe and is known for its inclusive workplace culture. Ready to be inspired? Learn more at www.ukg.com/careers  EEO Statement  Equal Opportunity Employer  Ultimate Kronos Group is proud to be an equal opportunity employer and is committed to maintaining a diverse and inclusive work environment. All qualified applicants will receive considerations for employment without regard to race  color  religion  sex  age  disability  marital status  familial status  sexual orientation  pregnancy  genetic information  gender identity  gender expression  national origin  ancestry  citizenship status  veteran status  and any other legally protected status under federal  state  or local anti-discrimination laws.,Remote,Glassdoor,"['data science team University degree', 'Agile development processes']"
