,Job Title,Company Name,Job Description,Location,Job Board
65,Data Scientist,"CakeAI
","Analytics, Toronto, FT
Your Role:
Explore customer data to uncover insights using data mining and analytic skills.
Training and tuning modern machine learning and AI algorithms to maximize performance and speed.
Building presentations to explain methodology, convey insights and share value based outcomes.
Work independently with tasks assigned.

Skills Required:",Midtown Toronto,Glassdoor
66,Data Analyst,Big Viking Games,"A Little About Us
Making fans - That's what we're all about! Since our humble beginnings in 2011, these two words have driven Big Viking Games to become the successful company it is today. We are focused on making our mark as a next-generation, live operations games company.
We believe that each Viking is unique and brings exponential value to the company. In return, we provide Vikings with the opportunity to solve problems through continuous learning and fostering feedback, ultimately mastering their craft. By investing in our Vikings and in new technologies, we can continue our success for years to come.
We are at the beginning of a new adventure and rely on our team of skilled, enthusiastic, and collaborative Vikings to turn our ship towards a new horizon. With that in mind, we are on the hunt for exceptional talent to join us on this new journey and help hoist the sails!
The Nitty Gritty
Big Viking Games is seeking a Data Analyst to join the team! Working under our Product umbrella, you will augment the analytics capacity of the team to provide analysis on our players, games, and the business at large. The analyst will mainly function as part of the Product team, but you will also frequently interact with other business stakeholders, such as Marketing and Finance to deliver reports.
The Duties:
Design, draft, and produce reporting and analysis based on specific business requirements for stakeholders using data from our custom analytics environments, web analytics tools, research surveys, and financial databases
Create queries and dashboards (SQL queries and etc.) using our internal tools
Work with product teams to provide analytical support for game design, development, testing, and operations, including player journey and engagement, retention, and marketing
Deliver analytics and data science tasks/initiatives that are aligned with the roadmap, and product goals – uncover actionable insights to substantially improve core game metrics
Help create and maintain a digital goods inventory management system
Work with the data team on pipeline requirements to improve centralization, automation, and reporting
Create requirements for products to improve their data collection and transmission creating more consistency and accuracy in reporting
Make quantitatively informed, evidence based decisions through maintaining source of truth data sources and dashboards
Support marketing and financial analysis including funnel analysis, media campaign performance, and KPI forecasting
Quality Assurance of charts, reports, and metrics generated by the data pipeline and other reporting tools
Other areas of data-driven reporting, analysis and investigations as required
Constantly monitor and validate the accuracy of the data provided, and suggest improvements in our reporting
The Requirements:
The Must Haves
2-3 yrs experience in quantitative and qualitative research (preferably in the Gaming space)
Bachelor's degree in Statistics, Mathematics, Economics, Analytics, or similar
Proficiency in SQL and other query languages
Proficiency in Python or R or other statistics tools
Experience with data visualization and reporting design tools (eg. Tableau, QlikView)
Solid writing and presentation skills to effectively and concisely convey analysis and technical information
High integrity and ability to work with confidential information
Ability to perform in a cross functional role effectively, working on different analysis for each respective team simultaneously
The Nice to Haves
Experience with ETL tools
Experience with inventory management
Experience from the Gaming industry
The Loot:
Health, Dental, Vision Benefits
A generous amount of Paid Time Off (Vacation, Personal Days, Sick Days, Family Leave)
Competitive Salaries
Professional Growth - Two performance reviews a year
Health & Wellness Benefits (Employee Assistance Program, Monthly Spending Account, Wellness Initiatives)
Vikoins (Peer Recognition Program & Rewards)
Stock Options
Group RRSP
Frequent remote events/meetings to stay connected with your peers and share company updates
100% Remote Work Environment
Becoming a Viking:
Are you cut from our cloth? Does the idea of working for a gaming company and doing what you love every day get you so excited that you kind of want to scream? Great! Send us your resume!
Big Viking Games is committed to providing accommodations for people with disabilities. If you require an accommodation, we will work with you to meet your needs. Accommodation may be provided in all parts of the hiring process.
Job Type: Full-time",Toronto,Indeed
67,Data Engineer,"GoodLife Fitness
","Position Description


DATA ENGINEER
**This is a remote position located anywhere in Canada**

Who is a Data Engineer?
The Data Engineer will play an important role in driving forward GoodLife’s Technology & Innovation product roadmap through helping to build data services that support ‘WOW’ experiences for our Members and Associates. In our mission to be the BEST combined Live and Digital fitness experience, data plays a significant role in empowering a more personalized and informed suite of digital services. Joining the Data Operations Team, you will help design, implement and maintain batch and real-time scalable data pipelines with complex data transformations. In addition, you will support our software developers, database architects and data analysts on data initiatives to ensure an optimal data delivery architecture. You will foster a positive working culture of continuous improvement, modernized delivery and rapid go-to-market product innovation. We work in a highly dynamic, fast changing, and fluid environment, and are seeking an energetic addition to the team!",Midtown Toronto,Glassdoor
68,Data Analyst,Publicis Media,"Company Description

Publicis Media is one of Canada’s fastest growing Media Agency networks. The secret sauce? A pool of talented individuals who learn from each other (while tapping into global centres of excellence) and transparency at the core of everything we do, from data reporting to billing all the way to agency leadership. The result is a blend of meaningful work for some of Canadas’ favorite brands and endless opportunities to grow for our team members.
Publicis Media has experienced an incredible growth rate over the past years. The network has transformed and moved at the pace of culture. As a company we are pleased to offer the opportunity to work from anywhere
In addition to providing continuing opportunities for career growth we are proud to offer our employees market leading benefit and incentive programs.
You’ll be provided with 3 weeks minimum vacation to start plus additional long weekend Publicis days, holidays closures, your birthday off, free Headspace memberships, wellness and technology credits, and market leading savings and pension plans.
We strive to provide what matters to you personally with the ability to choose and modify programs to suit your lifestyle.

Job Description

Looking for a one-of-a-kind role that combines both research and data science skills to drive growth for brands? Look no further.
As a Data Analyst on the Publicis Data Science team, you will be responsible for delivering marketing insights to help drive the strategic planning process, evolve measurement, and optimize the media mix to improve return on investment. You will be leveraging digital platforms to transform vast data sets into actionable insights that inform targeting and optimization; specifically, connecting or extracting data, tracking, measuring, and analyzing and optimizing digital media for improved conversion and business performance.
You will be part of a dynamic and growing team, reporting to the Data Science lead and will have the opportunity to learn and thrive in the emerging field of data strategy while learning the ins and outs of the media effectiveness field.
The successful candidate will have superior technical skills and attention to detail but must also be able to solve business issues using data, creativity, and human insight. Working collaboratively and building relationships with various key stakeholders, within both Publicis and the broader industry, is a key part of this role.
Responsibilities will include:
Work hand in hand with client strategy and planning teams to become a subject matter expert on specific Publicis client’s and corresponding lines of business; translating marketing and campaign objectives into digital media measurement plans
Liaise with the planning team to help design digital strategy, and in turn optimize and analyze media performance which in turn inform media strategy and strategic decision making
Provide the Planning and Buying teams with analysis, insights and data-informed recommendations from the aforementioned reporting areas
Learn to ingest, analyze, and QA disparate digital data sources across Paid, Owned and Earned Digital Media into a consolidated environment for tracking and glean meaningful insights from the platform
Act as the primary go-to-person for any analytics requests from the clients, and create and present reporting documentation on behalf of clients distilling highly technical concepts into easily understandable business terms
Learn how to set up automated process for data extraction, via API, SFTP, SQL, and more
Extract, transform and load data for ingestion into business intelligence platforms
Learn how to navigate, edit, and manipulate data within data visualization and business intelligence platforms
Build and deploy semi-automated Excel and PowerPoint digital reporting solutions such as campaign performance tracking
Opportunity to work across key business intelligence platforms for digital media, mainly Datorama
Essential Qualifications:
Experience in navigating and using the Google Suite (CM, DV360, GA, AdWords), Facebook Business Manager, and other media activation platforms as required
Experienced with media planning terminology and principles
Experience in understanding and analyzing Data Driven Attribution models
Excellent organizational, interpersonal, and time management skills
Ability to work independently and proactively
Strong Microsoft Office skills, particularly Excel and PowerPoint
Solid presentation and training skills, with experience presenting to senior leaders
Enthusiastic, proactive, flexible and can adjust deadlines without sacrificing quality
Secondary Qualifications:
Familiarity in using data visualization platforms inclusive but not limited to Datorama, Tableau, and Google Data Studio
Working with research data sets and syndicated data sources such as ComScore, Nielsen, Numeris, Vividata and others and conducting ad hoc market research as required
Beginner level experience in coding platforms, such as VBA, SQL, C++, Python, Javascript, and R Coding
Knowledge of statistical concepts
Fluency in French not mandatory but considered ideal

Qualifications
3+ years of digital media reporting experience (for example executing and reporting on display and video buying, social buying, search buying, etc.)
OR 2+ Years Data Experience (Preferably at an Agency, Client, or Media Owner) managing MarTech platforms (DMPs, CDPs, Data Lakes, CRM Platforms, etc.)
University or College degree (Preferably in Advertising, Marketing, or Data Science)
Technically competent and capable of working with and learning new digital and tech platforms
Strong numerical and analytical skills
Demonstrated ability to convert data analysis into meaningful action for brands
Experience with or strong knowledge of ad servers and web analytics platforms
Effective written and verbal communication skills
Ability to cope under pressure and deliver to tight deadlines autonomously.

Additional Information

Publicis Media is an equal opportunity employer and we welcome and encourage applications from all interested parties. Accommodations are available, upon request, for all stages of the interview and employment process for those with a disability or medical need during any stage of the recruitment process. We thank all candidates for their interest in Publicis Media, however, only those candidates selected for an interview will be contacted.",Montréal,Indeed
69,Data Engineer,"Kraft Heinz Company
","About Us
The Kraft Heinz Company is one of the largest food and beverage companies in the world, with eight $1 billion+ brands and global sales of approximately $25 billion. We’re a globally trusted producer of high-quality, great-tasting, and nutritious foods for over 150 years. Our brands are truly global, with products produced and marketed in over 40 countries. These beloved products include condiments and sauces, cheese and dairy, meals, meats, refreshment beverages, coffee, infant and nutrition products, and numerous other grocery products in a portfolio of more than 200 legacy and emerging brands.
We spark joy around mealtime with our iconic brands, including Heinz, Kraft, Bull's-Eye, HP, Lea and Perrins, Quero, ABC, Master, Banquete, Plasmon, Orlando, Benedicta, Honig, Pudliszki, Wattie’s among others.
Don Mills",Don Mills,Glassdoor
70,"Research Scientist, Senior Research Scientist, Group Leader - Synthetic Organic Chemistry in R&D - Eurofins CDMO Alphora Inc.","Eurofins Central Laboratory
","Mississauga, ON, Canada
Full-time

Company Description
Eurofins Scientific is an international life sciences company, providing a unique range of analytical testing services to clients across multiple industries, to make life and our environment safer, healthier and more sustainable. From the food you eat, to the water you drink, to the medicines you rely on, Eurofins works with the biggest companies in the world to ensure the products they supply are safe, their ingredients are authentic and labelling is accurate. Eurofins believes it is a global leader in food, environmental, pharmaceutical and cosmetics products testing and in agroscience CRO services. It is also one of the global independent market leaders in certain testing and laboratory services for genomics, discovery pharmacology, forensics, CDMO, advanced material sciences and in the support of clinical studies.",Mississauga,Glassdoor
71,Machine Learning Stack Integration Engineer- 94942,"Advanced Micro Devices, Inc.","What you do at AMD changes everything
At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks for gaming, immersive platforms, and the data center.
Developing great technology takes more than talent: it takes amazing people who understand collaboration, respect, and who will go the “extra mile” to achieve unthinkable results. It takes people who have the passion and desire to disrupt the status quo, push boundaries, deliver innovation, and change the world. If you have this type of passion, we invite you to take a look at the opportunities available to come join our team.

Machine Learning Stack Integration Engineer
The Role:
AMD is looking for people who will be working with Solution Validation & Debug within the Machine Learning Software Engineering group. As a team member responsibility will include working closely on the debug and triage of Machine learning and High-Performance Computing related issues that add value to the Solution Validation of ROCm Stack.
The Person:
The ideal candidate will bring broad experience on dealing with complex software level issues related to Machine Learning and High-Performance Computing.
Key Responsibilities:
Work on ROCm stack packaging solution for individual and enterprice level deployment on distributed cloud infrastructure
Debug Machine Learning/ High Performance Computing related issues on Radeon Open Compute Stack (ROCm)
Develop test contents for sophisticated Machine learning algorithms on distributed nodes
Port High Performance computing application on ROCm
Reproduce field defects and develop appropriate tests to prevent future issues.
Design, develop and deploy testing tools and automation libraries vital to perform testing.
Be responsible for the adoption of tooling and industry standard methodologies by means of advocacy and outreach to help our development communities’ level up.
Preferred Experience:
Languages: Python, C, C++, Linux Shell scripting.
Frameworks/Libraries: TensorFlow, PyTorch, ONNXRT
Tools: Prior experience with Linux, Docker, LLVM compilers, GNU make /CMAKE, Jenkins, Git/Gerrit
Understanding of High-Performance Computing application, Machine learning and GPU Programming, MPI Parallel Programming
Academic Credentials:
Bachelor's Degree in Computer Science or related quantitative field. An advanced degree or equivalent practical work experience is a plus.
Location:
Markham, Canada

#LI-JG1


Requisition Number: 94942
Country: Canada Province: Ontario City: Markham
Job Function:Design

AMD is an inclusive employer dedicated to building a diverse workforce. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective provincial human rights codes throughout all stages of the recruitment and selection process. Any applicant who requires accommodation should contact AskHR@amd.com.
AMD does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services.",Markham,Indeed
72,Expert Data Science,"Canadian National Railway
","At CN, we work together to move our company—and North America—forward. Be part of our Information & Technology (I&T) team, a critical piece of the engine that keeps us in motion. From enterprise architecture to operational technology, our teams use the agile methodology to automate and digitize our railroad ensuring our operations run optimally and safely and our employees can focus on value-added tasks. You will be able to develop your skills and career in our close-knit, safety-focused culture working together as ONE TEAM. The careers we offer are meaningful because the work we do matters. Join us!
Job Summary
You will be part of a team that spans across all business domains. You will provide advanced analytical insights using data analysis and machine learning techniques. You will collaborate with teams across the company, exploring various data sources to help identify new opportunities while driving the adoption of AI. As an expert data scientist, you will combine your knowledge of machine learning and software development skills to automate model development, training, and deployment. You will leverage your experience in building reusable algorithms, functions, and libraries to use in model development for predictive and prescriptive analytics.",Edmonton,Glassdoor
73,"Manager, Data and Digital Platforms","Samsung Electronics
",,Mississauga,Glassdoor
74,Senior Data Analyst,National Bank of Canada,"Primary Locations: Montreal, Quebec
Employee Status: Regular
Schedule: Full-time

We are looking for a Senior Data Analyst to transform our performance metrics dashboards for Collection. The sector is responsible for managing and optimizing the Generator of Calls to Collection and monitoring the performance of all risk strategies covering the consumer credit, credit cards, SME and collection portfolios.
The candidate's primary mandate will be to create an executive overview of Collection containing *key* performance indicators and their targets, and to communicate this overview to executives; they will also continue migrating our dashboards to Power BI and propose new visualizations. The role therefore requires analytical and business intelligence skills as well as strong communication and presentation skills.
Although the candidate's primary mandate will be related to measuring the performance of Collection, they may be called upon to use their analytical skills in the team's other areas of activities, including monitoring strategies for the 3 business lines covered by the team. The Modelling and Risk Strategies team thereby offers many development opportunities for selected candidates.
This position reports to the Manager – Analytics and Performance, Modelling and Risk Strategies for Cards, Retail & SME.
Your main challenges
Create a monthly executive overview of the performance of Collection, which involves identifying relevant KPIs, extracting them from SAS databases, and creating the relevant visualizations in Power BI
With our partners, determine targets for the key performance indicators in your executive overview
Communicate and explain the trends you observe in the executive overview in different forums, including for the sector's Vice-President
Complete our performance metrics Power BI ecosystem by adding new visualizations to help us assess the impact of our actions
Understand the operational environment of Collection and the different levers that can affect its performance to have all the components required for effective storytelling

Bachelor’s degree in a related field and 5 years of experience in credit risk, OR master’s degree in a related field and 3 years of experience in credit risk, OR university certificate/undergraduate diploma from the National Bank University Program and 7 years of experience in credit risk
Proficient in SAS/SQL (R or Python, an asset)
Proficient in Power BI
Excellent communicator, spoken and written, skilled in storytelling for the presentation of results
Ability to present and adapt their level of speech to different audiences
Independence and proactivity
Experience in collection, an asset
Excellent ability to analyze and summarize, and intellectual curiosity
Comfortable applying expertise in an ever-changing multidisciplinary environment
Bilingualism, spoken and written (English and French)
The Bank has innovated by modernizing its performance evaluation system to better meet our clients’ evolving needs. From now on, the corporate values (expected behaviours) of partnership, agility and empowerment count as much as the business objectives.
Working at National Bank means having access to competitive working conditions, a wide range of employee benefits, a dynamic work environment and telemedicine services.
National Bank values all aspects of diversity and sees it as a tremendous source of wealth. We want to offer an open, respectful work environment where all employees can achieve their full potential. Senior management has made a concrete commitment to promote this value across all sectors of the organization. We're committed to providing accommodations as needed and ensuring accessibility during the recruitment process and after hiring. If you have any specific needs, please let us know during our initial conversation and we'll be happy to accommodate you.",Montréal,Indeed
75,Data Scientist/Time Series,"Scarsin
","Reporting directly to the Director of Data Science, this role is pivotal in implementing advanced time series solutions to deliver high quality results to clients.
You will be interacting with multi-function teams, including data integration, model development and other consulting functions to implement best practice and thought leadership.
This role also works very closely with client project sponsors to ensure client satisfaction and business requirement fulfillment.
Duties and Responsibilities
Implement currently available time series forecasting models
Develop customized forecasting algorithms required by specifications of each project",Markham,Glassdoor
76,Data Scientist,Novisto,"At Novisto, our vision is to be the world's leading software solution for integrated corporate sustainability management. Our purpose is to advance a more inclusive and resilient society by enabling organizations to create value through sustainability.

You will have the chance to work with incredibly talented and driven people within our engineering and business teams. While our employees are currently working remotely, we are taking thoughtful measures to ensure a smooth onboarding experience for any new employee joining our growing company.
We are looking for an experienced Data Scientist to join us.

You will be responsible for data discovery in vast amounts of data, applying data mining techniques, doing statistical analysis, and building high quality prediction systems.

Experience:
Degree in Computer Science or relevant field

5+ years with data related technologies

4+ years with NLP techniques and algorithms

2+ years with data mining, statistical analysis, prediction systems, visualisation tools

Experience with cloud services and infrastructure is a plus


Excellent understanding of machine learning techniques and algorithms

Experience with data visualisation tools

Good applied statistics skills, such as distributions, statistical testing, regression

Good scripting and programming skills

Extended experience with NLP techniques such as text preprocessing, text representation, keyword extraction, text classification, topic modelling, semantic extraction techniques, sentiment analysis

text, tables and images

Experience with Python and data science packages such as Scikit-learn, pandas, numpy, Keras, Tensorflow, PyTorch

Experience with NLP packages such as gensim, nltk, spacy

Understanding of deep learning models for NLP such as BERT, RNN, LSTM


Excellent communication and teamwork skills

An analytical mind, great attention to detail


The opportunity to join an early stage, well-financed company

The chance to have an impact by creating a product that is bringing positive change around the world

Generous health benefits

Beautiful office, in the heart of Old Montreal",Montreal,Glassdoor
77,Business Intelligence Data Engineer,"Blackline Safety
","About Blackline
Blackline Safety is a world leader in the development and manufacturing of wirelessly connected safety products. We offer the broadest and most complete portfolio available in the industry. Our products are designed to save lives and we monitor personnel working alone in populated areas, complex indoor facilities, and the remote reaches of our planet. Blackline’s products are used to keep people safe in the event of falls, missed check-ins, person-downs, and exposure to explosive or toxic gas. Our design, development, sales, marketing, support, and production are all performed in-house at our headquarters in Calgary, AB. Blackline Safety is a publicly-traded company (TSXV: BLN).
Blackline Safety is looking for a Data Engineer to help build and drive our Blackline Analytics and Blackline Vision platform. We have a world-class connected safety system and we are building a Data analytics and Data science platform to match it.",Calgary,Glassdoor
78,Machine Learning Engineer,BLUE UMBRELLA LIMITED,"We are looking for a Pytorch Machine Learning Engineer to be responsible for managing the development of NLP machine learning models and big data applications using Microsoft Azure Clouds.
Duties and Responsibilities will include but not be limited to:
· Writing reusable, testable, and efficient Python code
· Responsible for AI and Machine Learning models lifecycle
· Big data processing, cleansing, analytics, and visualization
· Design and implementation of low-latency, high-availability, and performant big data and machine learning applications
· Integrating security, data protection, data visualization and machine learning in written code
Requirements:
· Expert in NLP and BERT models
· Expert in Python, Pytorch, Pandas, and Numpy
· Expert in machine learning models development and deployment to production environment
· Expert in big data processing tools such as Spark or SQL
· Expert in data analysis and visualisation libraries including matplotlib
· Up to date with the latest AI and NLP technologies
· Basic understanding of APIs, Data Streaming, and front-end technologies, such as JavaScript, HTML5, and CSS3
· Strong testing and debugging skills
· Proficient understanding of code versioning tools such as Git
· Minimum 5 years of hands-on working experience
· At least 1 year Microsoft Azure Clouds experience
· Experience with Azure Machine Learning
· At least 2 years’ experience with NLP, including BERT
· Excellent communications skills in English
· Be legally authorized to work in Canada
Job Types: Full-time, Permanent
Schedule:
8 hour shift
Ability to commute/relocate:
Vancouver, BC (preferred)
Education:
Bachelor's Degree (preferred)
Experience:
Microsoft Azure Clouds: 1 year (preferred)
Pytorch Machine Learning: 5 years (preferred)
Licence/Certification:
visa to legally work in Canada (preferred)
Work remotely:
Temporarily due to COVID-19",Vancouver,Indeed
79,AI Scientist,Paige,"Paige is a software company helping pathologists and clinicians make faster, more informed diagnostic and treatment decisions by mining decades of data from the world's experts in cancer care. We are leading a digital transformation in pathology by leveraging advanced Artificial Intelligence (AI) technology to create value for the oncology clinical team.

We are the first company to develop clinical grade AI tools for the pathologist, which resulted in our receiving FDA breakthrough designation for our first product. Paige has also received FDA-clearance for our digital viewer, FullFocus™. We have also established multiple relationships with biopharma, laboratory, and equipment manufacturers that enables Paige to develop an ecosystem ready to help patients receive better diagnoses and treatment.

We're looking for AI Scientists to join us. In this role you'll be part of a team of world-leading experts in machine learning, computer vision and pathology.

In this role you'll conduct publishable deep learning research using some of the largest digital pathology datasets in the world. You'll be working to save lives by improving the accuracy of cancer detection, classification, and treatment outcome.

Recent graduates and PhD candidates who will defend soon are welcome to apply!

This position is fully remote for candidates based in Canada.


Work with our AI Scientists and Engineers to develop and assess deep neural network models

Author top-tier journal and conference papers on your research at Paige

Attend conferences to present your work.


Highly motivated

PhD degree in computer science or related field

Publication record in venues such as CVPR, ICCV, NeurIPS, TPAMI, ICLR IJCV, MICCAI, etc.

Expertise in deep learning, especially for computer vision

Strong Python coding skills

Computer vision expertise

Knowledge of deep learning toolboxes

You are authorized to work in Canada",Ontario,Glassdoor
80,Senior Data Scientist,"Veeva Systems
","Veeva [NYSE: VEEV] is the leader in cloud-based software for the global life sciences industry. Committed to innovation, product excellence, and customer success, our customers range from the world’s largest pharmaceutical companies to emerging biotechs. Veeva’s software helps our customers bring medicines and therapies to patients faster.

We are the first public company to become a Public Benefit Corporation. As a PBC, we are committed to making the industries we serve more productive, and we are committed to creating high-quality employment opportunities.

Veeva is a Work Anywhere company which means that you can choose to work in the environment that works best for you - on any given day. Whether you choose to work remotely from home or work in an office - it’s up to you.

The Role",Midtown Toronto,Glassdoor
81,Marine Scientist Lead,"Triton Environmental Consultants LTD.
","Are you looking for an opportunity to build a meaningful career in the environmental field? Do you want to work with a dynamic team of professionals striving to make a difference in all they do? Do you want to participate in Western Canada’s most exciting development projects? Do you want to do what you love in some of the most beautiful parts of the country? If so, look no further.

Triton Environmental Consultants Ltd. (“Triton”) is a seeking highly motivated and enthusiastic Marine Scientist Lead to join a well-established team of environmental professionals in our Vancouver office.

Triton is an employee-owned environmental consulting firm with 30 years of experience responding to the environmental needs of resource developers across all sectors, as well as all levels of government. What does that mean for you? We have deep roots in our communities, strong relationships with clients and regulators, and a track record of helping projects get built responsibly. We control our own destiny and promote a people-first culture.",Vancouver,Glassdoor
82,Senior Data Scientist,"Wattpad
","Wattpad is a global multiplatform entertainment company whose vision is to entertain and connect the world through stories. Since 2006, we’ve been on a mission to use the power of community and technology to unleash the full potential of stories to the world. Every month 90 million people around the world spend over 23 billion minutes on Wattpad to share and discover stories they can’t find anywhere else. Our brand banner includes: Wattpad, Wattpad Labs, Wattpad Studios, Wattpad Books and Wattpad Brand Partnerships. We’re proudly based in Toronto, but our reach is global. Come build the future of entertainment and storytelling, and write your next chapter with us!

Wattpad is seeking a Senior Data Scientist to join our StoryDNA team. You will help guide and drive aspects of our technical strategy that use machine learning to model our story content and metadata. This senior role will be working across Engineering, Data and Product leadership to help guide the evolution of the technical architecture, infrastructure and best practices used within our Data organization. This role assumes a deep familiarity with both applied research and bringing models to production. The ideal candidate will have a deep interest in social-mobile experiences, a passion for exploring innovative approaches to open-ended problems, and developing solutions to both internal and user-facing product-centric problems.",Midtown Toronto,Glassdoor
83,Data Analyst - 312118,"Procom
","Data Analyst
On behalf of our client, Procom is actively seeking a Data Analyst for a 12 month contact in Vancouver, BC.

Data Analyst Job Details
Provide data analysis and standard reporting support, which includes the ability to extract data from various source systems with primary source being SNOW and other data stores by performing light business coding (SQL, VBA, Unix, etc.) and system parameter setting, perform ad-hoc queries and develop/automate financial/statistical models using a variety of software applications (Excel, Access, etc.).
Perform impact analysis on proposed changes evaluating potential impacts on data, applications, and reporting and effectively communicating potential risks/effects to supported business customer base.

12 months


Vancouver, BC",Vancouver,Glassdoor
84,Senior Data Scientist,"realtor.com
","Come to work for Realtor.com! A leader in online real estate and backed by industry experience and the News-Corp Brand, Realtor.com's vision is to be the leading destination to discover and create your perfect home, and today millions of unique users visit our company's website and mobile apps monthly. What you can do at Realtor.com has the potential to touch people in a real and meaningful way.

At realtor.com, we process terabytes of data everyday and transform that data into information that powers decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. You'll engage with some of the best and the brightest co-workers and leaders, learn and contribute, and have a great time. If you enjoy working in a fast-paced, dynamic, cutting-edge work environment and desire to make a meaningful contribution to the business, then make the move!

We seek a highly seasoned ML practitioner to join our Data Science - Machine Learning team and help take it to the next level. We use advanced ML to build recommender systems and matching models, search relevance & ranking systems, user personalizations and consumer segmentation models. We also leverage the latest advancements in deep learning on images and NLP to build rich, next-gen experiences for our users. As a key member of the team, you will be responsible for the development and deployment of innovative concepts, research, predictive modeling, and machine learning algorithms. You will also serve as a mentor for the junior members on the team and provide guidance on their projects.


Research, build and deploy machine learning and deep learning algorithms.
Design and build solutions leveraging the wealth of consumer clickstream data, real estate property data, images and text data of realtor.com.
Create scalable machine learning models - classification & regression (GBMs, RF, LR, etc.), forecasting, clustering, neural networks (CNNs, LSTMs, Transformers, etc.) that integrate into batch, streaming and real-time systems.
Build end-points to serve ML models in production.
ML Ops (monitor inference performance, scalability, availability, etc).
Effectively partner with product and engineering teams to ideate and build new data-driven and machine learning based features for enriching the experience of home shoppers.
Drive A/B & multivariate tests and design of experiments to facilitate testing of new product and design features, with focus on improving engagement, retention, and conversion.
Help improve the scope of our data sets by identifying new data collection and procurement opportunities on an ongoing basis.
Generate descriptive visualizations and presentations to communicate insights and results.
Mentor the team on data exploration, machine learning, deep learning and developing data-oriented products.
Work with a sense of ownership and urgency, advocate for experimentation-based, agile culture.


MS/PhD in machine learning, computer science, applied mathematics or related fields.
5+ years of relevant work experience in the industry building and productionizing ML models.
Proficient in Python, Scikit-learn, XGBoost, PyTorch/TensorFlow, and other languages and frameworks appropriate for ML modeling and deployment.
Proficiency in Recommender Systems or Consumer Classification modeling is a plus!
Proficiency in Deep Learning (NLP and/or Computer Vision) is a plus!
Experience with relational databases (SQL) and large scale distributed systems.
Comfortable with experiment design and A/B and multivariate tests.
Exposure to Docker and Containerization.
structured and unstructured data, data management and querying, common data structures and algorithms.
Strong creative thinking and problem solving skills.
Excellent oral and written communication and presentation skills.

About realtor.com

At realtor.com ®, we believe that everyone deserves a home of their own. We're a community of nearly 2,000 employees who work hard to ensure that from the moment someone starts dreaming about a new home, to the moment they walk in the door and beyond, we're there to lend a helping hand. Every month, over 85 million people trust us with their journey home by visiting our site and mobile apps, and we'd love to have you join our team to help.

We've got great offices in the U.S. and Canada with lots of sweet jobs to choose from, so we're hoping you'll join us on our journey to make buying, selling, renting, and living in homes easier and more rewarding for everyone.

Let's make a difference, together. For Real.",Vancouver,Glassdoor
85,Data Scientist,"Cerebri AI
","Design, develop, test, advocate, evangelize and build data-driven products that help our customers improve business decisions. You will provide insight into analytic practices, design and lead iterative learning and development cycles.
Responsibilities
Understanding and worked with database systems.
Understanding and worked with machine learning algorithms.
Perform feature analysis.
Develop ontology for key market segments.
Develop outcome/event taxonomy for key business models.
Build utility code and handle miscellaneous support tasks.",Midtown Toronto,Glassdoor
86,Data Scientist / Engineer,"LotusFlare, Inc.
","Mobile data connectivity drives economic growth and brings vast social benefits to the world, but two-thirds of the world's population is unable to access this valuable resource. Our mission is to make affordable mobile communications available to every human on earth.
We are founded by early Product and Growth team executives from Facebook, and backed by world-leading VCs including Google Ventures, Social Capital, SV Angels, Macquarie Capital, and Compound.
We partner with some of the greatest institutions in the world including Linkedin, Supercell, Twitter, Microsoft, Verizon Wireless, Singtel, and T-Mobile.
SUMMARY
As a Data Scientist / Engineer at LotusFlare, you will play a vital role in redefining connectivity on a global scale. You will work on products bringing connectivity to more than 10 million people across the globe. You will advocate data-fueled products that help our customers to make data-driven decisions. You will provide insight using leading analytics practice and ultimately produce new and creative analytic solutions that will become part of our core products including experimentation platform (Velocity), analytics platform (Periscope), and data platform. You are a strategic thinker who can form hypotheses, synthesize disparate information to validate those hypotheses, and provide actionable insights for the product team to scale user base.",Midtown Toronto,Glassdoor
