,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location
10,"Scientist, Chemical Sciences",44,"Paraza Pharma, Inc. is a fast-growing pharmaceutical research company offering a dynamic and collaborative work environment where scientific excellence, innovation and creativity are at the forefront. Here, diversity, new points of view and a creative spirit are valued and considered as real assets. We provide our employees with ongoing support, training and development opportunities to expand their horizons while contributing to our shared passion for Drug Discovery.
The Medicinal Chemistry and Chemical Development groups at Paraza are seeking energetic, results-oriented individuals with proven track records of success to join our dynamic teams. The successful candidate is expected to have extensive experience in modern organic synthesis. In addition, we are looking for individuals with abilities to analyze complex data sets, demonstrate sound decision-making and analytical skills and able to provide creative proposals and solutions to advance on-going projects. The candidate will be expected to work independently within a team structure, design and execute synthetic routes and troubleshoot when needed. The key responsibilities of the successful candidates include the following:",5,"Paraza Pharma, Inc.
4.7",Saint-Laurent
11,"Associate Scientist, Chemical Sciences",44,"Paraza Pharma, Inc. is a fast-growing pharmaceutical research company offering a dynamic and collaborative work environment where scientific excellence, innovation and creativity are at the forefront. Here, diversity, new points of view and a creative spirit are valued and considered as real assets. We provide our employees with ongoing support, training and development opportunities to expand their horizons while contributing to our shared passion for Drug Discovery.
The Medicinal Chemistry and Chemical Development groups at Paraza are seeking energetic, results-oriented individuals with proven track records of success to join our dynamic teams. The successful candidate is expected to have experience in modern organic synthesis with good laboratory skills and high productivity. The candidate will be expected to work independently within a team structure, design and execute synthetic routes and troubleshoot when needed. The key responsibilities of the successful candidate include the following:",5,"Paraza Pharma, Inc.
4.7",Saint-Laurent
12,Feasibility Analytics Manager,44,"US Remote
**Oncology, Infectious Diseases , Immunology and Cardiovascular/Metabolism/ Neurology**

Who are we?
We Are PRA.

We are 20,000+ employees strong, operating in more than 90 countries. We are committed to saving lives and we are constantly striving to be the best at what we do. Our impact is real and we see it every single day. We are getting life-saving drugs into the hands of those who need them most.",5,"PRA Health Sciences
4.0",Remote
13,Ingénieur de données / Data Engineer,44,"*English will follow*

Altitude Sports est le leader de la vente en ligne au Canada, et se spécialise dans la rencontre de la mode avec le plein air. Fondée en 1984, l’entreprise offre des conseils de premier plan en matière d’équipement et de vêtements techniques haut de gamme, en plus d’un programme d’avantages destinés à ses membres et d’une multitude de produits soigneusement sélectionnés pour les aventures urbaines et en plein air.l

Description de Poste

En tant que membre fondateur de l'équipe, vous serez responsable de la conduite de la vision et de l'architecture à long terme de l'équipe, de la conduite / mise en forme des feuilles de route et du leadership technique. Vous ferez partie d'une équipe d'ingénieurs talentueux et passionnés, vous ferez l'expérience de nombreuses facettes du monde de la vente en ligne (e-tail) et participerez à une poussée toujours croissante vers une expérience client de classe mondiale et l'excellence opérationnelle. Les nouvelles idées sont toujours les bienvenues dans une culture de travail axée sur la communauté qui s'efforce continuellement d'être à la pointe du progrès. En tant qu'ingénieur des données, vous avez la possibilité d'aider à mener une transition vers une architecture de données de streaming évolutive et polyvalente. Vous travaillerez en étroite collaboration avec les développeurs, les parties prenantes et les analystes BI sur les données opérationnelles et stratégiques. Essentiellement, vous serez témoin de l'essentiel de ce qui fait fonctionner une opération de commerce électronique sérieuse.






















































Kafka ,Spark, Spring, AWS Kinesis ,SNS, EventBridge,ETL batch processing,Pentaho, Talend, SSISMySQL, MS-SQL,Snowflake, BigQuery, Cassandra,MongoDB, DynamoDB, Elastic Search, Python, Bash AWS/Google cloud/Azure",5,Altitude Sports,Montreal
14,"Senior Scientist, Chemical Sciences",44,"Paraza Pharma, Inc. is a fast-growing pharmaceutical research company offering a dynamic and collaborative work environment where scientific excellence, innovation and creativity are at the forefront. Here, diversity, new points of view and a creative spirit are valued and considered as real assets. We provide our employees with ongoing support, training and development opportunities to expand their horizons while contributing to our shared passion for Drug Discovery.
The Chemical Sciences group at Paraza is seeking energetic, results-oriented individuals with proven track records of success to join our dynamic team. The successful candidate is expected to have extensive experience in modern medicinal chemistry. In addition, we are looking for individuals with abilities to analyze complete data sets, demonstrate sound decision-making and analytical skills and who are able to provide creative proposals and solutions to advance on-going projects.",5,"Paraza Pharma, Inc.
4.7",Saint-Laurent
15,Scientifique de recherche en génie environnemental/Environmental Engineering Research Scientist,44,"English follows:
Scientifique de recherche en génie environnemental
Opportunité d’évoluer au sein d’une organisation mondiale
Milieu de travail innovateur offrant de nombreux défis professionnels
Environnement de développement technologique et d’innovation
Postes basés au Saguenay-Lac-St-Jean
À propos du poste
Nous sommes à la recherche d’un scientifique de recherche en génie environnemental qui participera au développement technologique en Environnement au sein du Centre de Recherche et Développement Arvida (CRDA) de Rio Tinto division Aluminium.",5,"Rio Tinto
3.9",Saguenay
16,"Environmental Scientist, Aquatics - Sparwood, BC",44,"Location:
Sparwood, BC, CA
Closing Date: June 15, 2021
Reporting to the Senior Lead Aquatic Science, the Lead Aquatic Science is accountable for work on projects to assess and support the ongoing management and compliance of regional and local permits associated with our coal mining operations. The position requires specialized scientific knowledge, technical skills, and project management experience.
To be successful in this role we are looking for someone with excellent organizational, interpersonal and communication skills, who is able to coordinate the efforts of others to accomplish objectives. Someone who will thrive in a fast-paced environment with minimal direction, but who also works well collaborating with a team.",5,"Teck Resources Limited
4.1",British Columbia
17,Business Intelligence Analyst,44,"CWB Financial Group is a diversified financial services organization providing specialized service in business and personal banking, trust, and wealth management across Canada. Our approach to business is straightforward: we work hard and with integrity, we practice common-sense thinking, we’re accountable for our actions, and we care about our people. We’re incredibly proud of the work we do every day to help our clients grow their businesses, manage their money and realize their financial potential! Learn more at http://www.cwb.com .
Business Intelligence Analyst

Flexible Work Arrangements (FWA)




06/14/2021",5,CWB Financial Group,Edmonton
18,Senior Associate Scientist-DMPK Bioanalysis,44,"Paraza Pharma Inc., located in Montreal, Canada has built a global reputation for providing high quality fully integrated drug discovery services. Paraza is a rapidly growing research organization which offers a dynamic and collaborative work environment where scientific excellence, innovation and creativity are at the forefront. The company is staffed by talented chemists and biologists and currently has approximately 200 employees.
The Bioanalysis Group at Paraza is seeking an energetic and results-oriented individual to join our dynamic team. The successful candidate is expected to have experience in liquid chromatography and mass spectrometry techniques with strong interpersonal communication skills and high productivity. The candidate will be expected to work independently within a team structure, to develop LC-MS/MS methods, prepare bioanalysis samples and analyze samples using mainly LC-MS/MS. The key responsibilities of the successful candidate include the following:",5,"Paraza Pharma, Inc.
4.7",Saint-Laurent
19,Big Data Engineer IoT,44,"Position Summary
Inspire the World, Create the Future

The SmartThings Big Data team in Vancouver is looking for a Data Engineer who is passionate about big data technology and delivering data solutions. The Data Engineer works cross functionally with our business strategy, cloud engineering, client engineering, and marketing teams to use data and provide meaningful insight on how to improve our features and products.

You are a team player with strong communication skills who enjoys collaborating with other teams. You have a big picture, analytical mindset and thrive working with data and numbers while understanding the importance of its impact on business decisions. You also have a knack for solving problems and quickly grasping new technologies.

If you want to work for one of the most recognized brands in the world and one of the Top 100 Employers in Canada, then please keep reading!

What We Offer:",5,"Samsung Electronics
3.4",Vancouver
20,Data Analyst - Pipeline Inspection (Level 2-3 IMU),44,"Onstream Pipeline Inspection Services Inc is a growing provider of inline inspection services to pipeline operators in Canada and the USA. Due to continued growth, Onstream is now accepting applications for the position of IMU Data Analyst (Level 2-3), based in Calgary, AB. The successful candidate will show a progressive work history of IMU Data Analysis along with having an analytical background, ability to learn/use proprietary software, and apply technical concepts quickly. This position requires the analysis of data recorded by Onstream Pipeline’s MFL/Caliper/IMU in-line inspection (ILI) tools, correlation to verification measurements, and final report generation.
Key Responsibilities and Duties:
Perform preliminary IMU data quality assessments.
Process and interpret IMU bench test datasets for acceptance.",5,Onstream Pipeline Inspection Services Inc.,Calgary
21,Intermediate to Senior Contaminated Sites Environmental Scientist/ PM,44,"GENERAL QUALIFICATIONS
· Graduate of a recognized Post Secondary institution or college in the field of Chemistry or Environmental Sciences
· 5+ years of relevant contaminated sites and environmental consulting experience
· Professional designation (i.e., P.Geo., P.Chem., or P.Ag.) or eligible to apply
· Proficient computer skills with Microsoft Office
· Current Safety Tickets (a plus); Valid Class 5 Driver’s License; Canadian Citizen or Permanent Residency",5,"Roy Northern Land and Environmental Ltd.
1.0",Fort St. John
22,Data Engineer,44,"Sago Mini is an award-winning publisher of preschooler apps and toys worldwide. Supported by a team of artists, designers, developers, product managers, thinkers, and doers who are devoted to play. With over 60 million downloads, three subscription services, 35+ apps, and a line of physical toys, Sago Mini brings thoughtful design to life for kids and parents worldwide.
As our product catalogue has grown so has our data and that is why we are looking for an ambitious Data Engineer to join our team. As our first dedicated Data Engineer, you will be accountable for mission-critical infrastructure that enables us to make informed decisions across all our product lines. This role is suitable for a candidate who enjoys working in a fast-paced product-focused company.
We are open to remote candidates who are able to work within our core office hours, 10am - 5pm EST.",5,"Sago Mini
3.7",Midtown Toronto
23,Staff AI Research Scientist - ATG,44,"Company Description
ServiceNow is making the world of work, work better for people. Our cloud‑based platform and solutions deliver digital workflows that create great experiences and unlock productivity for employees and the enterprise. We're growing fast, innovating faster, and making an impact on our customers' and employees' lives in significant and important ways. With over 6,900 customers, we serve approximately 80% of the Fortune 500, and we're on the 2020 list of FORTUNE World's Most Admired Companies.®

We're looking for people who are ready to roll up their sleeves and help us build on our incredible momentum, our diverse, engaged workforce, and our purpose to make the world of work, work better.

Learn more on Life at Now blog and hear from our employees about their experiences working at ServiceNow.",5,"ServiceNow
4.3",Montreal
24,Investment Management DATA ANALYST,44,"KERR FINANCIAL GROUP - Montreal
Investment Management DATA ANALYST
Kerr Financial was founded in 1979 as a fee-only personal wealth management firm providing a comprehensive range of planning services to individuals. The firm’s mission is to keep busy, successful Canadian families financially healthy by providing them with integrated tax, investment, trust, and estate planning advice on a proactive basis. Our qualified team of professional advisors includes Chartered Accountants, Registered Financial Planners, Certified Financial Planners and Certified Financial Analysts that have a thorough knowledge of all aspects of personal financial planning and management.
Kerr Financial is looking for a new team member to join the Kerr family. This rewarding opportunity exists for a very organized, detailed oriented individual who processes a keen critical analytics approach working with software systems to their fullest capacity for the optimal results. This a team member who thrives in a professional financial environment where personal integrity, confidentiality, and ethics are key values and enjoys contributing outstanding results for their colleagues and clients alike.",5,Kerr Financial Consultants,Montreal
25,Machine Learning Engineer,44,"Our telecom client, Bell Canada, is looking for a highly capable Machine Learning Engineer. The ideal candidate would be able to demonstrate solid data science knowledge and have a minimum of 3 years experience in a related Machine Learning role.
Key Responsibilities and Job Duties:
Building transactional chatbots for enterprise applications
Using Artificial Intelligence (AI), Natural-Language Processing (NLP), and Machine Learning (ML) to build these conversational assistants
Ensuring that algorithms generate accurate user recommendations
Running tests, performing statistical analysis, and interpreting results
Documenting ML processes",5,"MSi Corp (BELL Canada)
3.2",Midtown Toronto
26,Data Modeler,44,"On behalf of our client, a major global leader in the commercial real estate sector, we are recruiting for a Lead Data Modeler. This role will be a key part of the Enterprise Data Platform team, responsible for uncovering/understanding the organizational Data needs and developing appropriate Data Modeling to support a strong, robust Enterprise Data Platform.
Key Accountabilities:
As part of the Data Platform team, holding responsibility for Enterprise Data Modeling, Definition and Taxonomy.
Modeling and designing operational data stores, data warehouses and data marts
Managing the shift toward the Enterprise Data Model and Domain Data Structure
Providing data integration and design expertise that will lead to the appropriate linking and integration of data from different source systems",5,Flex People Solutions,Midtown Toronto
27,Data Engineer,44,"Data Engineer
Are you a go-getter who has a passion in building next gen data solutions for business problems? Are you a big fan of simplification and automation?
One of our top clients, the largest e-commerce investor is Looking for a Data Engineer to join their smart team to build the data-driven app for early-stage founders.
100% Remote Opportunity (Within Canada)
Job Description:
What we look for:",5,"Vaco
3.7",Remote
28,Senior Data Scientist,44,"You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world.
Job Description:
Role Summary
Analytics & Insights is a multi-disciplinary center of excellence comprised of savvy and intellectually curious professionals who are on a mission to transform how we apply data and analytics to support Sun Life becoming client-centric.
73,800/73 800 - 124,100/124 100
Advanced Analytics
13/06/2021",5,"Sun Life Financial
4.0",Waterloo
29,Ingénieur senior de données / Senior Data Engineer,44,"Ingénieur senior de données
(an English message will follow)
Vous avez envie de participer aux plus grands projets de transformation numérique avec des passionnés d’innovation ? Vous souhaitez participer à la réalisation de grands changements d’importance et à des projets qui changent des vies ? Avec LGS, les possibilités sont infinies. Nous sommes une entreprise locale, d’envergure internationale, propulsée par la puissance du capital intellectuel d’IBM.
Votre développement professionnel et votre bien-être nous tiennent à cœur et les possibilités de carrière sont multiples. Mentorat, formations illimitées et esprit qu’équipe font partie de notre ADN.",5,LGS IBM Client Innovation Center Québec,Montreal
30,Data Scientist - Sports Analytics,44,"About Staffinity Inc.
We are your trusted bilingual recruiting, short and long-term staffing service provider. Our primary goal has been matching sought-after employers with talented candidates. We are your source to get you in front of desirable employers who are now hiring in your area. Please visit us at https://staffinity.ca
Why Work With Us?
We are awesome: We push the boundaries of new technology and are always trying to stay ahead of the curve
We have a great team dynamic with a more client centered approach
We offer competitive salaries and great bonuses and perks!
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time position in Toronto ON. The work will be done primarily with R.",5,Staffinity Inc.,North York
31,Senior Professional Environmental Scientist (ESA) and Business Lead,44,"Senior Professional Environmental Scientist (ESA)
and Business Lead
Madrone Environmental Services Ltd. (Madrone) has immediate openings for a Senior Professional Environmental Scientist and Business Lead at our Duncan and Abbotsford offices. These are full-time positions with comprehensive benefits.
Madrone is a well-established environmental services company offering our employees a flexible work environment as well as exciting opportunities to advance within their professions. Our interdisciplinary team of professionals include: Biologists, Foresters, Geoscientists, Geomorphologists, Hydrologists, Agrologists and Archaeologists. Working together, we help our clients achieve best use of natural resources while meeting environmental protection goals.",5,Madrone Environmental Services Ltd,Duncan
32,"Manager, Data and Digital Platforms",44,,5,"Samsung Electronics
3.4",Mississauga
